Season,ATeamID,BTeamID
2019,1181,1277
2019,1181,1261
2019,1181,1439
2019,1181,1280
2019,1181,1268
2019,1181,1257
2019,1181,1433
2019,1181,1416
2019,1181,1278
2019,1181,1396
2019,1181,1251
2019,1181,1387
2019,1181,1463
2019,1181,1295
2019,1181,1300
2019,1181,1211
2019,1181,1276
2019,1181,1403
2019,1181,1199
2019,1181,1266
2019,1181,1305
2019,1181,1393
2019,1181,1196
2019,1181,1385
2019,1181,1293
2019,1181,1436
2019,1181,1297
2019,1181,1285
2019,1181,1192
2019,1181,1341
2019,1181,1314
2019,1181,1246
2019,1181,1222
2019,1181,1242
2019,1181,1235
2019,1181,1459
2019,1181,1429
2019,1181,1449
2019,1181,1371
2019,1181,1326
2019,1181,1308
2019,1181,1318
2019,1181,1209
2019,1181,1233
2019,1181,1438
2019,1181,1397
2019,1181,1345
2019,1181,1243
2019,1181,1458
2019,1181,1437
2019,1181,1279
2019,1181,1328
2019,1181,1234
2019,1181,1388
2019,1181,1332
2019,1181,1414
2019,1181,1330
2019,1181,1205
2019,1277,1439
2019,1277,1280
2019,1277,1433
2019,1277,1416
2019,1277,1278
2019,1277,1396
2019,1277,1387
2019,1277,1463
2019,1277,1295
2019,1277,1300
2019,1277,1403
2019,1277,1305
2019,1277,1393
2019,1277,1385
2019,1277,1293
2019,1277,1436
2019,1277,1297
2019,1277,1285
2019,1277,1341
2019,1277,1314
2019,1277,1459
2019,1277,1429
2019,1277,1449
2019,1277,1371
2019,1277,1326
2019,1277,1308
2019,1277,1318
2019,1277,1438
2019,1277,1397
2019,1277,1345
2019,1277,1458
2019,1277,1437
2019,1277,1279
2019,1277,1328
2019,1277,1388
2019,1277,1332
2019,1277,1414
2019,1277,1330
2019,1261,1277
2019,1261,1439
2019,1261,1280
2019,1261,1268
2019,1261,1433
2019,1261,1416
2019,1261,1278
2019,1261,1396
2019,1261,1387
2019,1261,1463
2019,1261,1295
2019,1261,1300
2019,1261,1276
2019,1261,1403
2019,1261,1266
2019,1261,1305
2019,1261,1393
2019,1261,1385
2019,1261,1293
2019,1261,1436
2019,1261,1297
2019,1261,1285
2019,1261,1341
2019,1261,1314
2019,1261,1459
2019,1261,1429
2019,1261,1449
2019,1261,1371
2019,1261,1326
